country_code,country_name,year,actual,regression_forecast,arima_forecast,regression_abs_error,arima_abs_error,winner
BRN,Brunei,2010,72.10626185958255,72.70687555108853,72.10653246144778,0.6006136915059841,0.000270601865238973,ARIMA
BRN,Brunei,2011,72.10626185958255,72.474810741755,71.78418276782956,0.36854888217244763,0.32207909175298255,ARIMA
BRN,Brunei,2012,72.10626185958255,72.38269445823212,72.10626185958255,0.2764325986495777,0.0,ARIMA
BRN,Brunei,2013,72.10626185958255,72.32964732517333,72.10626185958255,0.22338546559078054,0.0,ARIMA
BRN,Brunei,2014,72.10626185958255,72.29953939677716,72.10626185958255,0.19327753719461782,0.0,ARIMA
BRN,Brunei,2015,72.10626185958255,72.2769230120033,72.10626185958255,0.17066115242074886,0.0,ARIMA
BRN,Brunei,2016,72.10626185958255,72.25322300861289,72.10626185958255,0.1469611490303464,0.0,ARIMA
BRN,Brunei,2017,72.10626185958255,72.22868399994798,72.10626185958255,0.12242214036542975,0.0,ARIMA
BRN,Brunei,2018,72.10626185958255,72.20711500251349,72.10626185958255,0.10085314293094427,0.0,ARIMA
BRN,Brunei,2019,72.10626185958255,72.1929433951045,72.10626185958255,0.08668153552196145,0.0,ARIMA
BRN,Brunei,2020,72.10626185958255,72.1857584303448,72.10626185958255,0.07949657076225947,0.0,ARIMA
BRN,Brunei,2021,72.10626185958255,72.18797669853875,72.10626185958255,0.08171483895620213,0.0,ARIMA
BRN,Brunei,2022,72.10626185958255,72.19944468874257,72.10626185958255,0.09318282916002829,0.0,ARIMA
BRN,Brunei,2023,72.10626185958255,72.217046675293,72.10626185958255,0.11078481571045984,0.0,ARIMA
KHM,Cambodia,2010,59.98883979152504,60.1025176263649,59.9898189817747,0.11367783483986216,0.0009791902496587568,ARIMA
KHM,Cambodia,2011,58.01466122818943,59.97862850974296,59.881136441525086,1.9639672815535292,1.8664752133356544,ARIMA
KHM,Cambodia,2012,56.04048266485384,58.15736698098012,56.549234357729176,2.1168843161262814,0.508751692875336,ARIMA
KHM,Cambodia,2013,54.06630410151824,56.2332788248057,54.28765452734292,2.16697472328746,0.22135042582468145,ARIMA
KHM,Cambodia,2014,52.09212553818264,54.38226138492814,52.25697652329521,2.2901358467454997,0.16485098511256524,ARIMA
KHM,Cambodia,2015,50.11794697484704,52.479043385736254,50.25396575961045,2.3610964108892176,0.1360187847634151,ARIMA
KHM,Cambodia,2016,49.235950600498526,50.52056126602332,48.26130041839626,1.284610665524795,0.9746501821022662,ARIMA
KHM,Cambodia,2017,48.35395422615001,49.14017984882207,48.46832976104305,0.7862256226720632,0.11437553489304264,ARIMA
KHM,Cambodia,2018,47.47195785180149,47.90339254505144,47.582115436396144,0.43143469324994754,0.11015758459465275,ARIMA
KHM,Cambodia,2019,46.58996147745299,46.81173640786185,46.696194791293486,0.22177493040886276,0.10623331384049806,ARIMA
KHM,Cambodia,2020,45.70796510310446,45.909429580395994,45.810548915895964,0.20146447729153039,0.10258381279150086,ARIMA
KHM,Cambodia,2021,44.82596872875595,45.25151737027043,44.925144661856606,0.42554864151447447,0.09917593310065342,ARIMA
KHM,Cambodia,2022,43.94397235440743,44.53823366380272,44.03995802586642,0.5942613093952929,0.0959856714589904,ARIMA
KHM,Cambodia,2023,43.06197598005891,44.142707217700476,43.154971754527054,1.0807312376415652,0.09299577446814311,ARIMA
IDN,Indonesia,2010,53.08026177098607,53.56475759416323,53.07611688986519,0.4844958231771628,0.004144881120879518,ARIMA
IDN,Indonesia,2011,52.58691922691595,53.433775418865764,52.99593230812722,0.8468561919498114,0.40901308121127045,ARIMA
IDN,Indonesia,2012,52.09357668284582,52.92008874642272,52.37542657610604,0.8265120635768994,0.28184989326021537,ARIMA
IDN,Indonesia,2013,51.60023413877569,52.38662400217309,51.80098077893944,0.7863898633974031,0.2007466401637501,ARIMA
IDN,Indonesia,2014,51.10689159470556,51.85372811061336,51.25467165633116,0.7468365159078019,0.1477800616256033,ARIMA
IDN,Indonesia,2015,50.61354905063544,51.32306002342269,50.72769116551358,0.7095109727872497,0.11414211487814185,ARIMA
IDN,Indonesia,2016,50.74345452695819,50.800047585294294,50.21307892168141,0.05659305833610517,0.530375605276781,Regression
IDN,Indonesia,2017,50.039333822986606,51.00301643560077,50.540140741929314,0.9636826126141642,0.5008069189427076,ARIMA
IDN,Indonesia,2018,49.71681777920756,50.20100813615708,49.681758243910664,0.48419035694951873,0.035059535296895206,ARIMA
IDN,Indonesia,2019,49.39429640925072,49.8681735284079,49.384375373485376,0.47387711915718,0.009921035765344755,ARIMA
IDN,Indonesia,2020,49.07178036547167,49.54197545423937,49.07776150249228,0.4701950887677029,0.005981137020611982,ARIMA
IDN,Indonesia,2021,48.36194486812056,49.20101671733732,48.76525828484819,0.8390718492167579,0.4033134167276273,ARIMA
IDN,Indonesia,2022,48.0419900717626,48.78259388790734,47.941772945560786,0.7406038161447412,0.10021712620181233,ARIMA
IDN,Indonesia,2023,47.72203369024635,48.36368361635499,47.66686042026425,0.6416499261086415,0.055173269982098816,ARIMA
LAO,Laos,2010,73.39904679376083,73.66469487597037,73.40013021660653,0.2656480822095375,0.0010834228456957362,ARIMA
LAO,Laos,2011,73.24956672443675,73.45385765028304,73.1891708070571,0.20429092584629416,0.06039591737965111,ARIMA
LAO,Laos,2012,73.10008665511265,73.30099782645172,73.10153925696082,0.20091117133907233,0.0014526018481717529,ARIMA
LAO,Laos,2013,72.95060658578856,73.14877462426821,72.95201815658407,0.19816803847965048,0.0014115707955113521,ARIMA
LAO,Laos,2014,72.80112651646448,72.99703659353224,72.80167404691082,0.1959100770677651,0.0005475304463402608,ARIMA
LAO,Laos,2015,72.65164644714038,72.84567105995444,72.65298253862021,0.19402461281406147,0.001336091479828383,ARIMA
LAO,Laos,2016,72.5021663778163,72.69460042480543,72.50346767810494,0.1924340469891348,0.0013013002886452796,ARIMA
LAO,Laos,2017,72.3526863084922,72.54365549274326,72.35321773890708,0.1909691842510597,0.0005314304148811289,ARIMA
LAO,Laos,2018,72.20320623916811,72.39298604299857,72.20378899757236,0.18977980383046145,0.0005827584042492617,ARIMA
LAO,Laos,2019,72.05372616984403,72.24248316925426,72.0549331784635,0.18875699941023072,0.0012070086194739815,ARIMA
LAO,Laos,2020,71.90424610051993,72.09211863079291,71.90542464307639,0.18787253027298334,0.0011785425564596608,ARIMA
LAO,Laos,2021,71.75476603119584,71.94153111356158,71.75522643250474,0.18676508236573852,0.0004604013088993497,ARIMA
LAO,Laos,2022,71.60528596187174,71.79142884728272,71.60570522399856,0.18614288541097324,0.0004192621268117591,ARIMA
LAO,Laos,2023,71.45580589254766,71.64202932455179,71.45690655994407,0.18622343200412672,0.0011006673964146785,ARIMA
MYS,Malaysia,2010,57.6705219905646,58.33739270696738,57.670815934479535,0.6668707164027765,0.00029394391493298144,ARIMA
MYS,Malaysia,2011,57.98497641150511,58.12746035359825,57.44450079323951,0.1424839420931434,0.5404756182655959,Regression
MYS,Malaysia,2012,58.2994308324456,58.28511685649502,58.26758344318409,0.014313975950578595,0.031847389261514536,Regression
MYS,Malaysia,2013,58.61388525338609,58.46354471556647,58.58405470037331,0.15034053781961632,0.02983055301277915,ARIMA
MYS,Malaysia,2014,58.928339674326594,58.664489334973815,58.9002667073144,0.26385033935277846,0.028072967012192862,ARIMA
MYS,Malaysia,2015,59.24279409526708,58.890542760660104,59.21628632794354,0.3522513346069758,0.02650776732353677,ARIMA
MYS,Malaysia,2016,58.78752092527774,59.14094132753921,59.53175381186661,0.3534204022614702,0.7442328865888683,Regression
MYS,Malaysia,2017,58.6348805356871,58.77581981617886,58.42925324645344,0.1409392804917573,0.2056272892336608,Regression
MYS,Malaysia,2018,58.48224014609649,58.671630617335836,58.52121005955532,0.18939047123934927,0.03896991345883549,ARIMA
MYS,Malaysia,2019,58.32959975650586,58.54795048469218,58.36802790074335,0.21835072818632284,0.038428144237492745,ARIMA
MYS,Malaysia,2020,58.17695936691523,58.37374112531454,58.21486389247103,0.196781758399311,0.03790452555580259,ARIMA
MYS,Malaysia,2021,58.02431897732461,58.20873705170022,58.061715398768484,0.18441807437560698,0.037396421443872896,ARIMA
MYS,Malaysia,2022,57.871678587733975,58.02395824344667,57.90858252734955,0.15227965571269664,0.03690393961557703,ARIMA
MYS,Malaysia,2023,57.71903819814336,57.84863286316695,57.75546440855705,0.12959466502358907,0.03642621041369409,ARIMA
MMR,Myanmar,2010,48.12938186939351,48.78982228129999,48.12807247151377,0.6604404119064782,0.0013093978797442674,ARIMA
MMR,Myanmar,2011,47.68370555189885,48.25869336732464,47.60853528185143,0.5749878154257857,0.0751702700474226,ARIMA
MMR,Myanmar,2012,47.25036515348695,47.736553615896284,47.23895302067585,0.48618846240933067,0.011412132811102538,ARIMA
MMR,Myanmar,2013,46.81182091014884,47.21620619184803,46.817874229233254,0.4043852816991915,0.0060533190844154205,ARIMA
MMR,Myanmar,2014,46.36821216390029,46.710190352415864,46.37412175287451,0.3419781885155757,0.0059095889742195595,ARIMA
MMR,Myanmar,2015,45.92460341765175,46.23759622688573,45.92542980170796,0.3129928092339753,0.0008263840562108271,ARIMA
MMR,Myanmar,2016,45.50189956800147,45.79835004337354,45.48179825216362,0.2964504753720689,0.020101315837848688,ARIMA
MMR,Myanmar,2017,45.06016085790885,45.37094940060086,45.079968725392476,0.3107885426920092,0.019807867483628172,ARIMA
MMR,Myanmar,2018,44.61974873601961,44.949836886328804,44.61915674631881,0.33008815030919436,0.0005919897008013209,ARIMA
MMR,Myanmar,2019,44.175884786272405,44.54844237790005,44.180045411352474,0.3725575916276469,0.004160625080068314,ARIMA
MMR,Myanmar,2020,43.73403098043422,44.16177736284376,43.73271534377248,0.4277463824095378,0.0013156366617366189,ARIMA
MMR,Myanmar,2021,43.29014662846461,43.77372455614967,43.29283022875897,0.4835779276850616,0.0026836002943610993,ARIMA
MMR,Myanmar,2022,42.84626227649501,43.38631682354594,42.846902813020975,0.5400545470509286,0.0006405365259638529,ARIMA
MMR,Myanmar,2023,42.40237792452541,42.99891888239379,42.402999191383444,0.5965409578683776,0.0006212668580332092,ARIMA
PHL,Philippines,2010,22.93899453331992,23.09646845759131,22.938994719641183,0.15747392427138962,1.8632126241868718e-07,ARIMA
PHL,Philippines,2011,23.05599490223698,22.93899453331992,22.78152078556367,0.11700036891705778,0.2744741166733071,Regression
PHL,Philippines,2012,23.17299527115404,23.05599490223698,23.163280862198086,0.11700036891706134,0.009714408955954212,ARIMA
PHL,Philippines,2013,23.2899956400711,23.17299527115404,23.28060573164312,0.11700036891706134,0.009389908427980487,ARIMA
PHL,Philippines,2014,23.40699600898816,23.2899956400711,23.397914610923777,0.11700036891705778,0.009081398064381574,ARIMA
PHL,Philippines,2015,23.52399637790522,23.40699600898816,23.515199594453335,0.11700036891706134,0.008796783451884949,ARIMA
PHL,Philippines,2016,23.641010161988127,23.56063580992402,23.63246693848837,0.08037435206410848,0.008543223499756891,ARIMA
PHL,Philippines,2017,23.758023946071035,23.67948105236734,23.749752263557482,0.07854289370369472,0.008271682513552037,ARIMA
PHL,Philippines,2018,23.87500419223933,23.79423856297693,23.866998121182622,0.08076562926240172,0.008006071056708919,ARIMA
PHL,Philippines,2019,23.992017976322234,23.90331257101239,23.98417054043773,0.08870540530984528,0.00784743588450354,ARIMA
PHL,Philippines,2020,24.109031760405134,24.01868015063685,24.10142707116173,0.09035160976828394,0.0076046892434042945,ARIMA
PHL,Philippines,2021,24.226045544488045,24.13395351312503,24.218638439609816,0.09209203136301625,0.007407104878229376,ARIMA
PHL,Philippines,2022,24.34305932857095,24.24695727489987,24.33584478316808,0.09610205367107838,0.007214545402867145,ARIMA
PHL,Philippines,2023,24.46007311265386,24.36240258720387,24.453037826221486,0.09767052544998833,0.007035286432373056,ARIMA
SGP,Singapore,2010,25.27122507122507,25.239571428571438,25.325414319737728,0.031653642653633796,0.05418924851265672,Regression
SGP,Singapore,2011,24.83892045454545,25.27122507122507,25.297313488247365,0.43230461667962317,0.45839303370191686,Regression
SGP,Singapore,2012,24.409065155807365,24.83892045454545,24.493323277359227,0.42985529873808304,0.08425812155186208,ARIMA
SGP,Singapore,2013,24.015558698727013,24.409065155807365,24.05560601382837,0.3935064570803526,0.04004731510135784,ARIMA
SGP,Singapore,2014,23.58984485190409,23.914896146961887,23.68788939721414,0.32505129505779706,0.09804454531004936,ARIMA
SGP,Singapore,2015,23.23187588152328,23.224817296876775,23.227361611923797,0.007058584646504329,0.004514269599482645,ARIMA
SGP,Singapore,2016,22.969675599435824,23.297373527547848,22.92689544045575,0.32769792811202336,0.04278015898007581,ARIMA
SGP,Singapore,2017,22.626404494382022,22.968018153406106,22.74762173129254,0.3416136590240839,0.12121723691051756,ARIMA
SGP,Singapore,2018,22.3109243697479,22.56695249032391,22.33130015632626,0.25602812057600843,0.020375786578359367,ARIMA
SGP,Singapore,2019,21.997206703910617,22.289428788689275,22.038589667221398,0.29222208477865763,0.04138296331078095,ARIMA
SGP,Singapore,2020,21.685236768802227,22.36283650776458,21.724680865714443,0.6775997389623534,0.03944409691221651,ARIMA
SGP,Singapore,2021,21.434540389972145,22.12600084899187,21.412677678850716,0.6914604590197229,0.0218627111214289,ARIMA
SGP,Singapore,2022,21.18384401114206,21.561536883528916,21.215874348620968,0.3776928723868558,0.03203033747890771,ARIMA
SGP,Singapore,2023,20.93314763231198,20.43780128697872,20.96435853680261,0.4953463453332603,0.031210904490631464,ARIMA
THA,Thailand,2010,39.29025817690697,39.07984106167668,39.27092678931928,0.2104171152302854,0.019331387587683935,ARIMA
THA,Thailand,2011,39.28556049247392,39.29025817690697,39.4828708590796,0.0046976844330473,0.19731036660567725,Regression
THA,Thailand,2012,39.28086280804087,39.28556049247392,39.28160052171303,0.0046976844330473,0.0007377136721586908,ARIMA
THA,Thailand,2013,39.27616512360782,39.28086280804087,39.27689685453629,0.004697684433054405,0.0007317309284715634,ARIMA
THA,Thailand,2014,39.27146743917477,39.27616512360782,39.27219379954669,0.0046976844330473,0.0007263603719209755,ARIMA
THA,Thailand,2015,39.26676975474172,39.27146743917477,39.26749104596408,0.0046976844330473,0.0007212912223550916,ARIMA
THA,Thailand,2016,39.18064554013584,39.26676975474172,39.26278850618931,0.08612421460588138,0.0821429660534676,ARIMA
THA,Thailand,2017,39.11018027364012,39.14381960016548,39.107635531771265,0.0336393265253605,0.0025447418688528955,ARIMA
THA,Thailand,2018,39.0397150071444,39.076528967901275,39.050404795501606,0.0368139607568736,0.010689788357204577,ARIMA
THA,Thailand,2019,38.96924974064867,39.00870645423591,38.97979287712743,0.03945671358724212,0.010543136478759152,ARIMA
THA,Thailand,2020,38.89878447415295,38.94071362781947,38.90918535379443,0.04192915366652272,0.010400879641480287,ARIMA
THA,Thailand,2021,38.82831920765722,38.87256783705104,38.838585884274366,0.04424862939381313,0.010266676617142423,ARIMA
THA,Thailand,2022,38.7578539411615,38.80419043167619,38.767987657885904,0.046336490514690354,0.010133716724403996,ARIMA
THA,Thailand,2023,38.687388674665776,38.73533040195035,38.69739618052765,0.04794172728457369,0.01000750586187138,ARIMA
TLS,Timor-Leste,2010,62.88500336247478,63.00789706217119,62.88538929676292,0.12289369969641228,0.00038593428814692743,ARIMA
TLS,Timor-Leste,2011,62.79085406859448,62.912845189874325,62.79089151428276,0.1219911212798479,3.7445688285231427e-05,ARIMA
TLS,Timor-Leste,2012,62.696704774714185,62.81790381964145,62.69670792032309,0.12119904492726619,3.1456089075732052e-06,ARIMA
TLS,Timor-Leste,2013,62.6025554808339,62.72305347680767,62.60285239356525,0.12049799597377131,0.0002969127313505737,ARIMA
TLS,Timor-Leste,2014,62.5084061869536,62.62827884270762,62.50847891961515,0.11987265575402262,7.273266155038982e-05,ARIMA
TLS,Timor-Leste,2015,62.41425689307331,62.53356779953319,62.414262770413515,0.11931090645988007,5.877340207405268e-06,ARIMA
TLS,Timor-Leste,2016,62.32010759919301,62.43891094679337,62.32012350969254,0.11880334760036249,1.5910499534754763e-05,ARIMA
TLS,Timor-Leste,2017,62.24613315400135,62.344300685776446,62.22603524295858,0.09816753177509696,0.020097911042768146,ARIMA
TLS,Timor-Leste,2018,62.131809011432416,62.269199036435005,62.19077216053767,0.13739002500258835,0.05896314910525291,ARIMA
TLS,Timor-Leste,2019,62.03765971755212,62.15531391200379,61.96241693958148,0.11765419445167424,0.07524277797063661,ARIMA
TLS,Timor-Leste,2020,61.94351042367183,62.06079329316567,61.94199111861449,0.1172828694938417,0.00151930505734299,ARIMA
TLS,Timor-Leste,2021,61.849361129791525,61.966302909173464,61.84875968459575,0.11694177938193917,0.0006014451957767619,ARIMA
TLS,Timor-Leste,2022,61.755211835911226,61.871839352210735,61.75488169176857,0.11662751629950918,0.00033014414265863934,ARIMA
TLS,Timor-Leste,2023,61.66106254203093,61.777399208560965,61.66097752406473,0.11633666653003161,8.501796620663526e-05,ARIMA
VNM,Vietnam,2010,42.73321544619432,41.92336355353873,42.85779263105561,0.809851892655594,0.12457718486128755,ARIMA
VNM,Vietnam,2011,43.1647323195567,42.42898526552064,43.2589606339695,0.7357470540360609,0.09422831441280266,ARIMA
VNM,Vietnam,2012,43.57082470641906,42.85279559171701,43.66233047572251,0.7180291147020483,0.09150576930345267,ARIMA
VNM,Vietnam,2013,44.06395211255915,43.275846268260075,44.04169889972988,0.7881058442990749,0.02225321282926984,ARIMA
VNM,Vietnam,2014,44.44284889156942,43.71935868152469,44.53870614927762,0.72349021004473,0.09585725770820375,ARIMA
VNM,Vietnam,2015,44.871164038891706,44.15102384216102,44.892155178315704,0.7201401967306893,0.020991139423998106,ARIMA
VNM,Vietnam,2016,45.878354877515655,44.584419025145706,45.31308477994318,1.2939358523699482,0.5652700975724727,ARIMA
VNM,Vietnam,2017,45.99633698464916,45.639827367762976,46.431173705341244,0.35650961688618565,0.4348367206920827,Regression
VNM,Vietnam,2018,46.23468153872168,45.731537004829974,46.473162058258524,0.5031445338917067,0.2384805195368429,ARIMA
VNM,Vietnam,2019,46.47684164515727,45.95624970114933,46.66195657774192,0.5205919440079398,0.1851149325846464,ARIMA
VNM,Vietnam,2020,46.71900175159286,46.191272956353494,46.86171236779167,0.5277287952393692,0.14271061619880498,ARIMA
VNM,Vietnam,2021,46.96116185802845,46.431711553975646,47.06907743361371,0.5294503040528014,0.10791557558525966,ARIMA
VNM,Vietnam,2022,47.20332196446404,46.68488997684013,47.283922190746004,0.5184319876239059,0.08060022628196606,ARIMA
VNM,Vietnam,2023,47.44548207089962,46.93946203682571,47.50511466786454,0.5060200340739129,0.059632596964917184,ARIMA
